jaar,jonger dan 20 jaar,20 tot 30 jaar, 30 tot 40 jaar, 40 tot 50 jaar, 50 tot 60 jaar, 70 jaar of ouder
1950,20,51,60,91,123,110,79,25
1980,31,253,244,209,237,231,146,79
2010,55,148,198,397,369,240,109,84
2015,48,185,223,360,466,312,168,109
2016,48,175,240,337,447,337,186,124
